,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Matt Bryant(FA),34,37,91.9,59,0,12,7,9,6,56,57,16,179.0,11.2,1.1%
1,2,Justin Tucker(BAL),38,39,97.4,57,0,4,10,14,10,27,27,16,175.0,10.9,98.0%
2,3,Dustin Hopkins(LAC),34,42,81.0,53,0,12,12,7,3,36,39,16,151.0,9.4,14.5%
3,4,Caleb Sturgis(FA),35,41,85.4,55,0,12,12,7,4,30,31,16,150.0,9.4,0.0%
4,5,Adam Vinatieri(FA),27,31,87.1,54,0,3,7,10,7,44,44,16,149.0,9.3,0.2%
5,6,Matt Prater(ARI),31,36,86.1,58,0,10,4,10,7,31,33,16,148.0,9.3,52.8%
6,7,Wil Lutz(NO),28,34,82.4,57,1,7,9,8,3,49,50,16,147.0,9.2,3.3%
7,8,Graham Gano(NYG),30,38,78.9,54,0,4,9,14,3,31,34,16,141.0,8.8,31.4%
8,9,Nick Novak(FA),35,41,85.4,53,1,12,11,8,3,22,25,16,141.0,8.8,0.1%
9,10,Stephen Gostkowski(FA),27,32,84.4,53,0,9,7,9,2,46,49,16,140.0,8.8,0.1%
10,11,Sebastian Janikowski(FA),29,35,82.9,56,1,9,6,10,3,37,39,16,140.0,8.8,20.0%
11,12,Dan Bailey(FA),27,32,84.4,56,0,9,8,7,3,46,46,16,140.0,8.8,0.0%
12,13,Cairo Santos(CHI),31,35,88.6,54,0,8,15,6,2,36,39,16,139.0,8.7,2.1%
13,14,Stephen Hauschka(FA),33,37,89.2,53,0,11,13,8,1,29,35,16,138.0,8.6,0.0%
14,15,Jason Myers(SEA),27,34,79.4,56,0,7,3,10,7,29,32,16,134.0,8.4,22.1%
15,16,Brandon McManus(DEN),29,34,85.3,55,0,9,10,7,3,32,33,16,132.0,8.3,44.3%
16,17,Mason Crosby(GB),26,30,86.7,53,1,6,13,5,1,44,47,16,129.0,8.1,40.7%
17,18,Josh Lambo(FA),26,32,81.3,47,0,7,13,6,0,42,46,16,126.0,7.9,3.2%
18,19,Ryan Succop(TB),22,24,91.7,53,1,4,6,8,3,39,41,16,119.0,7.4,57.4%
19,20,Chandler Catanzaro(FA),21,28,75.0,60,1,5,6,6,3,43,47,16,118.0,7.4,0.0%
20,21,Nick Folk(NE),27,31,87.1,51,0,12,10,3,2,24,26,16,112.0,7.0,81.8%
21,22,Chris Boswell(PIT),21,25,84.0,49,0,2,8,11,0,36,36,15,110.0,7.3,51.0%
22,23,Dan Carpenter(FA),19,25,76.0,54,1,8,5,4,1,40,45,16,103.0,6.4,0.2%
23,24,Roberto Aguayo(FA),22,31,71.0,43,0,5,13,4,0,32,34,16,101.0,6.3,0.1%
24,25,Mike Nugent(FA),23,29,79.3,47,0,9,9,5,0,23,29,13,97.0,7.5,1.0%
25,26,Phil Dawson(FA),18,21,85.7,53,0,4,6,7,1,33,34,16,96.0,6.0,0.1%
26,27,Andrew Franks(FA),16,21,76.2,55,0,8,6,1,1,41,42,16,92.0,5.8,0.0%
27,28,Connor Barth(FA),18,23,78.3,54,0,7,7,3,1,31,32,16,90.0,5.6,0.0%
28,29,Cody Parkey(FA),20,25,80.0,51,0,6,6,7,1,20,21,14,89.0,6.4,0.4%
29,30,Greg Zuerlein(DAL),19,22,86.4,54,0,5,9,3,2,23,23,16,87.0,5.4,74.2%
30,31,Kai Forbath(LAR),15,15,100.0,51,0,5,5,4,1,11,14,7,62.0,8.9,3.0%
31,32,Blair Walsh(FA),12,16,75.0,50,1,1,5,4,1,15,19,9,57.0,6.3,0.1%
32,33,Robbie Gould(SF),10,10,100.0,47,0,3,3,4,0,20,23,10,54.0,5.4,22.5%
33,34,Josh Brown(FA),11,12,91.7,48,1,3,3,4,0,9,9,5,46.0,9.2,0.0%
34,35,Randy Bullock(TEN),8,9,88.9,44,0,4,2,2,0,9,10,5,35.0,7.0,10.8%
35,36,Patrick Murray(FA),1,2,50.0,35,0,0,1,0,0,3,4,2,6.0,3.0,1.0%
36,37,Ryan Santoso(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
37,38,Austin Seibert(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
38,39,Joey Slye(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%
39,40,Chris Blewitt(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
40,41,Matt Gay(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8%
41,42,Matthew Wright(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
42,43,Michael Badgley(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9%
43,44,Ka'imi Fairbairn(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
